cce_loss,cce_accuracy,disc_loss,gan_loss
"tf.Tensor(22.5018, shape=(), dtype=float32)","tf.Tensor(0.52057904, shape=(), dtype=float32)","tf.Tensor(0.0010444473, shape=(), dtype=float32)","tf.Tensor(7.4206553, shape=(), dtype=float32)"
"tf.Tensor(22.516777, shape=(), dtype=float32)","tf.Tensor(0.5205736, shape=(), dtype=float32)","tf.Tensor(0.0010258624, shape=(), dtype=float32)","tf.Tensor(7.4332824, shape=(), dtype=float32)"
"tf.Tensor(22.488594, shape=(), dtype=float32)","tf.Tensor(0.52118564, shape=(), dtype=float32)","tf.Tensor(0.0010069635, shape=(), dtype=float32)","tf.Tensor(7.452623, shape=(), dtype=float32)"
"tf.Tensor(22.492678, shape=(), dtype=float32)","tf.Tensor(0.5214244, shape=(), dtype=float32)","tf.Tensor(0.0009882135, shape=(), dtype=float32)","tf.Tensor(7.472069, shape=(), dtype=float32)"
"tf.Tensor(22.50186, shape=(), dtype=float32)","tf.Tensor(0.5217733, shape=(), dtype=float32)","tf.Tensor(0.0009679317, shape=(), dtype=float32)","tf.Tensor(7.508046, shape=(), dtype=float32)"
"tf.Tensor(22.504652, shape=(), dtype=float32)","tf.Tensor(0.52186114, shape=(), dtype=float32)","tf.Tensor(0.000948239, shape=(), dtype=float32)","tf.Tensor(7.539115, shape=(), dtype=float32)"
"tf.Tensor(22.584064, shape=(), dtype=float32)","tf.Tensor(0.5210534, shape=(), dtype=float32)","tf.Tensor(0.000933318, shape=(), dtype=float32)","tf.Tensor(7.5487294, shape=(), dtype=float32)"
"tf.Tensor(22.56486, shape=(), dtype=float32)","tf.Tensor(0.5215973, shape=(), dtype=float32)","tf.Tensor(0.00091498205, shape=(), dtype=float32)","tf.Tensor(7.574278, shape=(), dtype=float32)"
"tf.Tensor(22.578466, shape=(), dtype=float32)","tf.Tensor(0.52151716, shape=(), dtype=float32)","tf.Tensor(0.0008959331, shape=(), dtype=float32)","tf.Tensor(7.6053443, shape=(), dtype=float32)"
"tf.Tensor(22.573458, shape=(), dtype=float32)","tf.Tensor(0.52198815, shape=(), dtype=float32)","tf.Tensor(0.0008790682, shape=(), dtype=float32)","tf.Tensor(7.623145, shape=(), dtype=float32)"
"tf.Tensor(22.562822, shape=(), dtype=float32)","tf.Tensor(0.522467, shape=(), dtype=float32)","tf.Tensor(0.00086047663, shape=(), dtype=float32)","tf.Tensor(7.658194, shape=(), dtype=float32)"
"tf.Tensor(22.557726, shape=(), dtype=float32)","tf.Tensor(0.5225682, shape=(), dtype=float32)","tf.Tensor(0.00084368745, shape=(), dtype=float32)","tf.Tensor(7.688629, shape=(), dtype=float32)"
"tf.Tensor(22.556164, shape=(), dtype=float32)","tf.Tensor(0.52273065, shape=(), dtype=float32)","tf.Tensor(0.00082805817, shape=(), dtype=float32)","tf.Tensor(7.712173, shape=(), dtype=float32)"
"tf.Tensor(22.563002, shape=(), dtype=float32)","tf.Tensor(0.5226238, shape=(), dtype=float32)","tf.Tensor(0.0008121498, shape=(), dtype=float32)","tf.Tensor(7.737821, shape=(), dtype=float32)"
"tf.Tensor(22.554514, shape=(), dtype=float32)","tf.Tensor(0.5227814, shape=(), dtype=float32)","tf.Tensor(0.00079733983, shape=(), dtype=float32)","tf.Tensor(7.757981, shape=(), dtype=float32)"
"tf.Tensor(22.419146, shape=(), dtype=float32)","tf.Tensor(0.5251681, shape=(), dtype=float32)","tf.Tensor(0.0007827913, shape=(), dtype=float32)","tf.Tensor(7.7801495, shape=(), dtype=float32)"
"tf.Tensor(22.286028, shape=(), dtype=float32)","tf.Tensor(0.52750087, shape=(), dtype=float32)","tf.Tensor(0.0007682526, shape=(), dtype=float32)","tf.Tensor(7.8053617, shape=(), dtype=float32)"
"tf.Tensor(21.484863, shape=(), dtype=float32)","tf.Tensor(0.52472526, shape=(), dtype=float32)","tf.Tensor(0.00035531755, shape=(), dtype=float32)","tf.Tensor(8.331388, shape=(), dtype=float32)"
"tf.Tensor(14.434002, shape=(), dtype=float32)","tf.Tensor(0.66569346, shape=(), dtype=float32)","tf.Tensor(0.00034540385, shape=(), dtype=float32)","tf.Tensor(8.601655, shape=(), dtype=float32)"
"tf.Tensor(14.654279, shape=(), dtype=float32)","tf.Tensor(0.66358954, shape=(), dtype=float32)","tf.Tensor(0.0003368812, shape=(), dtype=float32)","tf.Tensor(8.61283, shape=(), dtype=float32)"
"tf.Tensor(14.477972, shape=(), dtype=float32)","tf.Tensor(0.66611296, shape=(), dtype=float32)","tf.Tensor(0.00032698916, shape=(), dtype=float32)","tf.Tensor(8.660914, shape=(), dtype=float32)"
"tf.Tensor(14.485676, shape=(), dtype=float32)","tf.Tensor(0.6654991, shape=(), dtype=float32)","tf.Tensor(0.00031941858, shape=(), dtype=float32)","tf.Tensor(8.685491, shape=(), dtype=float32)"
"tf.Tensor(14.593473, shape=(), dtype=float32)","tf.Tensor(0.6632994, shape=(), dtype=float32)","tf.Tensor(0.00031240887, shape=(), dtype=float32)","tf.Tensor(8.719173, shape=(), dtype=float32)"
"tf.Tensor(14.534122, shape=(), dtype=float32)","tf.Tensor(0.6644737, shape=(), dtype=float32)","tf.Tensor(0.0003047137, shape=(), dtype=float32)","tf.Tensor(8.758241, shape=(), dtype=float32)"
"tf.Tensor(14.494029, shape=(), dtype=float32)","tf.Tensor(0.6654696, shape=(), dtype=float32)","tf.Tensor(0.00029831033, shape=(), dtype=float32)","tf.Tensor(8.774726, shape=(), dtype=float32)"
"tf.Tensor(14.530839, shape=(), dtype=float32)","tf.Tensor(0.66486263, shape=(), dtype=float32)","tf.Tensor(0.0002916099, shape=(), dtype=float32)","tf.Tensor(8.801851, shape=(), dtype=float32)"
"tf.Tensor(14.541768, shape=(), dtype=float32)","tf.Tensor(0.66476274, shape=(), dtype=float32)","tf.Tensor(0.00028666048, shape=(), dtype=float32)","tf.Tensor(8.811009, shape=(), dtype=float32)"
"tf.Tensor(14.518845, shape=(), dtype=float32)","tf.Tensor(0.66520625, shape=(), dtype=float32)","tf.Tensor(0.00028088046, shape=(), dtype=float32)","tf.Tensor(8.829748, shape=(), dtype=float32)"
"tf.Tensor(14.565159, shape=(), dtype=float32)","tf.Tensor(0.6645009, shape=(), dtype=float32)","tf.Tensor(0.0002754645, shape=(), dtype=float32)","tf.Tensor(8.843857, shape=(), dtype=float32)"
"tf.Tensor(14.542169, shape=(), dtype=float32)","tf.Tensor(0.66474026, shape=(), dtype=float32)","tf.Tensor(0.00026998122, shape=(), dtype=float32)","tf.Tensor(8.861381, shape=(), dtype=float32)"
"tf.Tensor(14.565781, shape=(), dtype=float32)","tf.Tensor(0.66428447, shape=(), dtype=float32)","tf.Tensor(0.00026502917, shape=(), dtype=float32)","tf.Tensor(8.874421, shape=(), dtype=float32)"
"tf.Tensor(14.548574, shape=(), dtype=float32)","tf.Tensor(0.6648417, shape=(), dtype=float32)","tf.Tensor(0.00025985224, shape=(), dtype=float32)","tf.Tensor(8.896381, shape=(), dtype=float32)"
"tf.Tensor(14.555122, shape=(), dtype=float32)","tf.Tensor(0.6647654, shape=(), dtype=float32)","tf.Tensor(0.0002551188, shape=(), dtype=float32)","tf.Tensor(8.911801, shape=(), dtype=float32)"
"tf.Tensor(14.568866, shape=(), dtype=float32)","tf.Tensor(0.6646988, shape=(), dtype=float32)","tf.Tensor(0.00025014603, shape=(), dtype=float32)","tf.Tensor(8.930148, shape=(), dtype=float32)"
"tf.Tensor(14.588414, shape=(), dtype=float32)","tf.Tensor(0.6644413, shape=(), dtype=float32)","tf.Tensor(0.00024517498, shape=(), dtype=float32)","tf.Tensor(8.951517, shape=(), dtype=float32)"
"tf.Tensor(14.657594, shape=(), dtype=float32)","tf.Tensor(0.6634097, shape=(), dtype=float32)","tf.Tensor(0.00024067894, shape=(), dtype=float32)","tf.Tensor(8.966766, shape=(), dtype=float32)"
"tf.Tensor(14.646824, shape=(), dtype=float32)","tf.Tensor(0.66373897, shape=(), dtype=float32)","tf.Tensor(0.00023647462, shape=(), dtype=float32)","tf.Tensor(8.978448, shape=(), dtype=float32)"
"tf.Tensor(14.671811, shape=(), dtype=float32)","tf.Tensor(0.6633241, shape=(), dtype=float32)","tf.Tensor(0.00023233754, shape=(), dtype=float32)","tf.Tensor(8.99198, shape=(), dtype=float32)"
"tf.Tensor(14.673891, shape=(), dtype=float32)","tf.Tensor(0.6634835, shape=(), dtype=float32)","tf.Tensor(0.00022803403, shape=(), dtype=float32)","tf.Tensor(9.010159, shape=(), dtype=float32)"
"tf.Tensor(14.666545, shape=(), dtype=float32)","tf.Tensor(0.6636668, shape=(), dtype=float32)","tf.Tensor(0.00022409603, shape=(), dtype=float32)","tf.Tensor(9.025235, shape=(), dtype=float32)"
"tf.Tensor(14.66277, shape=(), dtype=float32)","tf.Tensor(0.6638866, shape=(), dtype=float32)","tf.Tensor(0.00022004292, shape=(), dtype=float32)","tf.Tensor(9.043956, shape=(), dtype=float32)"
"tf.Tensor(14.672863, shape=(), dtype=float32)","tf.Tensor(0.6639434, shape=(), dtype=float32)","tf.Tensor(0.00021583894, shape=(), dtype=float32)","tf.Tensor(9.067553, shape=(), dtype=float32)"
"tf.Tensor(14.665385, shape=(), dtype=float32)","tf.Tensor(0.66418725, shape=(), dtype=float32)","tf.Tensor(0.00021192658, shape=(), dtype=float32)","tf.Tensor(9.088607, shape=(), dtype=float32)"
"tf.Tensor(14.654306, shape=(), dtype=float32)","tf.Tensor(0.66445535, shape=(), dtype=float32)","tf.Tensor(0.00020828909, shape=(), dtype=float32)","tf.Tensor(9.104305, shape=(), dtype=float32)"
"tf.Tensor(14.557667, shape=(), dtype=float32)","tf.Tensor(0.6663589, shape=(), dtype=float32)","tf.Tensor(0.00020453369, shape=(), dtype=float32)","tf.Tensor(9.126589, shape=(), dtype=float32)"
